経路	パターン	連携方式	判定	推奨／非推奨理由	採用条件・留意点	AWS公式参考資料
①-1 東京ビル→東京DC	パターン①	社内専用FALCON網を経由して東京DCへ転送	推奨（経路として）	既存の社内専用ネットワークを利用でき、①-1区間ではインターネットや新規AWSサービスを追加せずに東京DCへデータを集約できるため。	FALCON網は通信経路であり、ファイル転送機能そのものではない。東京DC側の受信先、SFTP／SMB／HTTPS等の転送プロトコル、Push／Pull、認証、再送、監視方式は要確認。	社内ネットワーク仕様のため、FALCON網および東京DC受信方式は社内資料・ネットワーク担当への確認が必要。
①-2 インターネット：東京DC→AWS S3	パターン①	AWSマネジメントコンソールから手動でS3へアップロード	非推奨	定期連携では人手が必要となり、実行漏れ、誤操作、対象ファイルの選択ミスが発生しやすい。再実行、監視、実行結果の標準化も困難なため。	単発の検証、緊急時の臨時アップロード、少数ファイルのみの場合に限定して利用する。	https://docs.aws.amazon.com/AmazonS3/latest/userguide/upload-objects.html
①-2 インターネット：東京DC→AWS S3	パターン②	東京DCのAWS CLI／バッチからインターネット経由でS3へ直接アップロード	条件付き採用	aws s3 cp／syncでローカルファイルをS3へ直接転送でき、構成が単純で初期導入が容易。単発または低頻度の転送ではDataSyncより軽量であるため。	スケジュール、終了コード判定、再試行、ログ、通知、重複防止、認証情報管理、整合性確認を自社バッチで実装・保守する必要がある。定期的な100GB連携では運用負荷が高くなる。	https://docs.aws.amazon.com/cli/latest/userguide/cli-services-s3-commands.html
①-2 インターネット：東京DC→AWS S3	パターン③	東京DCにDataSync Agentを配置し、インターネット経由でDataSync公共エンドポイントへ接続してS3へ転送	推奨	オンプレミスからS3への定期的なファイル転送をマネージド化でき、転送タスク、スケジュール、帯域制御、データ検証、再実行、CloudWatch監視を利用できる。100GB規模の継続運用で独自バッチの保守範囲を削減できるため。	オンプレミスにDataSync Agent用の仮想基盤を用意し、必要なアウトバウンド通信を許可する。単発・低頻度の単純転送では構成と費用が過剰になる可能性がある。	"https://docs.aws.amazon.com/datasync/latest/userguide/what-is-datasync.html
https://docs.aws.amazon.com/datasync/latest/userguide/choose-service-endpoint.html"
①-2 VPN／Direct Connect：東京DC→AWS S3	パターン①	AWS側LambdaからVPN／DX経由でオンプレミスへクエリし、データを取得	非推奨	Lambdaは最大実行時間が15分であり、100GB級ファイルの取得・中継には適さない。分割転送、再開、重複防止、障害復旧を独自実装する必要があるため。	少量データのAPI／DBクエリや、短時間で完了する制御処理・メタデータ取得に限定する。ファイル本体の転送主体には使用しない。	https://docs.aws.amazon.com/lambda/latest/dg/gettingstarted-limits.html
①-2 VPN／Direct Connect：東京DC→AWS S3	パターン②	オンプレミスのDataSync AgentがNFS／SMBを読み取り、VPN／DX経由でDataSync VPCサービスエンドポイントへ接続してS3へ転送	推奨	プライベート経路でDataSyncサービスへ接続しながら、定期転送、差分判定、検証、再実行、帯域制御、タスク監視をマネージド化できる。大容量・定期運用に最も適合するため。	DataSync Agent、VPCサービスエンドポイント、DNS、ルーティング、セキュリティグループ、必要ポートの設計が必要。Agentはオンプレミス側に配置する。	"https://docs.aws.amazon.com/datasync/latest/userguide/choose-service-endpoint.html
https://docs.aws.amazon.com/datasync/latest/userguide/networking-datasync.html"
①-2 VPN／Direct Connect：東京DC→AWS S3	パターン③	オンプレミスのAWS CLIからVPN／DX経由でS3 Interface VPC Endpointへ直接アップロード	条件付き採用	既存のバッチ運用が整備されている場合、DataSync Agentを追加せず、閉域経路でS3 APIへ直接アップロードできるため。	再試行、監視、整合性確認、認証情報、実行管理は自社実装が必要。オンプレミスからS3へ接続する場合はGateway EndpointではなくInterface Endpointを使用する。	"https://docs.aws.amazon.com/AmazonS3/latest/userguide/privatelink-interface-endpoints.html
https://docs.aws.amazon.com/vpc/latest/privatelink/vpc-endpoints-s3.html"
②-1／②-2 稲沢→MELCO TOP→AWS S3	パターン①	稲沢側AWS CLIからMELIT網、MELCO TOP Proxy、インターネットを経由してS3へ直接アップロード	推奨（条件付き）	AWS CLIはHTTP／HTTPS Proxy経由の接続をサポートしており、既存のMELCO TOPインターネット出口を利用してネットワーク構成を大きく変更せずS3へ送信できるため。	MELCO TOPのProxy認証方式、S3宛てTCP 443許可、AWS CLI実行サーバー、IAM認証、再試行、ログ、通知、重複防止を確認・実装する。MELCO TOPは保存先ではなく通信中継・アクセス制御用Proxyである。	"https://docs.aws.amazon.com/cli/latest/userguide/cli-configure-proxy.html
https://docs.aws.amazon.com/cli/latest/userguide/cli-services-s3-commands.html"
③-1 稲沢オンプレ→Megcloud（稲沢）共有S3	パターン①	社内専用網からMegcloud VPCへ接続し、S3 Interface VPC Endpoint経由で共有S3へ格納	推奨	オンプレミスからMegcloud共有S3までインターネットを経由しないプライベート通信を実現でき、既存の閉域化方針に合致するため。	オンプレミスからMegcloud VPCまでのVPN／DX等の接続、DNS、ルーティング、TCP 443、Endpoint Security Group、Endpoint Policy、Bucket Policy、IAM／KMS権限が必要。	"https://docs.aws.amazon.com/AmazonS3/latest/userguide/privatelink-interface-endpoints.html
https://docs.aws.amazon.com/vpc/latest/privatelink/vpc-endpoints-s3.html"
③-2 Megcloud（稲沢）共有S3→データ利活用基盤S3	パターン①	Megcloud側Lambdaが共有S3への配置を検知し、データ利活用基盤S3へPush	非推奨	100GB級オブジェクトではマルチパートコピー、再試行、重複防止、エラー監視等の独自実装が必要となる。Lambdaの15分制限により、ファイル本体を中継する構成は運用リスクが高いため。	Lambdaはイベント検知や転送開始指示に限定し、実データの転送はS3 Replication等のマネージド機能に委ねる。	https://docs.aws.amazon.com/lambda/latest/dg/gettingstarted-limits.html
