提案区分	提案項目	推奨内容	運用担当者の対応	理由・留意事項	参照先
タスク設計	タスクモード	初期導入時はBasic modeを採用する	転送時間、ファイル数、Preparation時間を確認する	数百GB～1TBという容量だけではEnhanced modeは必須ではない。大量小ファイルや短時間完了要件がある場合に再検討する	https://docs.aws.amazon.com/datasync/latest/userguide/choosing-task-mode.html
タスク設計	初回全量転送	業務影響の少ない休日または夜間に実施する	初回転送中は回線使用率、転送速度、Agent状態を監視する	初回は数百GB～1TB全体を転送するため、日次差分転送とは分離して計画する	https://docs.aws.amazon.com/datasync/latest/userguide/run-task.html
タスク設計	定期転送	初回完了後は日次差分転送とする	業務データ更新完了後に自動実行する	毎回全量転送せず、追加・更新されたデータのみを転送する	https://docs.aws.amazon.com/datasync/latest/userguide/configure-metadata.html
タスク設計	実行スケジュール	原則として業務時間外に1日1回実行する	業務終了時刻と翌日の業務開始時刻を考慮して開始時刻を設定する	業務時間帯の回線負荷を抑制する	https://docs.aws.amazon.com/datasync/latest/userguide/task-scheduling.html
ネットワーク	帯域制御	導入初期は低い帯域上限から開始する	回線使用率と転送完了時間を確認し、段階的に上限を引き上げる	DataSyncによる既存業務通信への影響を防止する	https://docs.aws.amazon.com/datasync/latest/userguide/configure-bandwidth.html
ネットワーク	帯域上限の決定	実測した空き帯域を基準とする	契約帯域から業務ピーク帯域と安全余裕を除外して設定する	契約帯域全体をDataSyncへ割り当てない	https://docs.aws.amazon.com/datasync/latest/userguide/configure-bandwidth.html
監視	転送状況監視	DataSync ConsoleおよびCloudWatchを利用する	毎朝、前回実行の状態、転送量、実行時間、エラー件数を確認する	異常および転送時間の長期化を早期に検知する	https://docs.aws.amazon.com/datasync/latest/userguide/monitor-datasync.html
監視	障害通知	EventBridgeとSNSによる異常通知を設定する	Task ExecutionのERROR、AgentのOFFLINE等をメールで受信する	運用担当者による常時画面監視を不要にする	https://docs.aws.amazon.com/datasync/latest/userguide/events.html
監視	正常終了通知	正常終了は日次サマリー、異常は即時通知とする	正常通知と異常通知を分離する	通知過多による異常通知の見落としを防止する	https://docs.aws.amazon.com/datasync/latest/userguide/events.html
監視	ログ管理	CloudWatch Logsを有効化する	エラー発生時にTask Execution ID、時刻、エラー内容を確認する	ネットワーク、権限、ファイルアクセス等の原因調査に利用する	https://docs.aws.amazon.com/datasync/latest/userguide/monitor-datasync.html
監視	Task Report	通常時はSummary、障害時は詳細レポートを利用する	転送、スキップ、検証失敗、削除対象を確認する	エラーとなったファイルを特定しやすくする	https://docs.aws.amazon.com/datasync/latest/userguide/task-reports.html
品質	整合性確認	転送したデータの検証を有効化する	タスク完了後に検証結果を確認する	転送元とS3に保存されたデータの整合性を確認する	https://docs.aws.amazon.com/datasync/latest/userguide/configure-data-verification-options.html
障害対応	再送操作	原因解消後に同一Taskを再実行する	ネットワーク、Agent、NFS／SMB、IAM等を確認後、手動で再実行する	差分転送により未転送・変更データを再度対象にできる	https://docs.aws.amazon.com/datasync/latest/userguide/run-task.html
障害対応	自動再試行	初期導入時は無制限の自動再試行を行わない	通知を確認し、原因を解消してから再実行する	恒久障害時の再試行ループと通知過多を防止する	-
障害対応	将来の自動再試行	必要な場合のみ1回程度の自動再試行を実装する	EventBridge、LambdaまたはStep Functionsを利用する	再試行回数、待機時間、最終失敗通知を明確化する	https://docs.aws.amazon.com/datasync/latest/userguide/events.html
データ保護	削除処理	初期設定ではKeep deleted filesを推奨する	送信元で削除されたファイルをS3から自動削除しない	オンプレミス側の誤削除がS3へ波及することを防止する	https://docs.aws.amazon.com/datasync/latest/userguide/task-options.html
データ保護	上書き処理	更新ファイルの上書きを許可する	履歴保持が必要な場合はS3 Versioningを利用する	Versioning利用時は旧バージョン分の保存費用が増加する	https://docs.aws.amazon.com/AmazonS3/latest/userguide/Versioning.html
Agent運用	Agent監視	Agent OFFLINEを即時通知対象とする	VM、DNS、NTP、Gateway、FW、インターネット接続を確認する	Agent停止中はDataSync Taskを実行できない	https://docs.aws.amazon.com/datasync/latest/userguide/events.html
Agent運用	Agent保守	Agentを常時起動する	月次でAgent状態、VMリソース、ネットワーク状態を確認する	定期タスクを安定して実行できる状態を維持する	https://docs.aws.amazon.com/datasync/latest/userguide/managing-agent.html
権限	運用権限	運用担当者へ必要最小限のIAM権限を付与する	Task参照・実行、ログ参照、通知確認に限定する	IAM管理権限やS3削除権限の過剰付与を防止する	https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html
コスト	コスト監視	AWS Budgets等で月額予算アラートを設定する	見積額の80％、100％、120％等で通知する	データ増加や大量再転送による想定外課金を早期検知する	https://aws.amazon.com/aws-cost-management/aws-budgets/
拡張	データ量増加時	帯域拡張、実行時間延長、Task分割を段階的に検討する	月次で転送量、実行時間、S3保存量を確認する	データ量増加に対して一度に構成全体を変更する必要はない	https://docs.aws.amazon.com/datasync/latest/userguide/datasync-large-migration-timelines.html
拡張	ファイル数増加時	Preparation時間が長期化した場合にEnhanced modeを検討する	ファイル数とPreparation時間の推移を確認する	容量だけでなくファイル数もDataSync性能へ影響する	https://docs.aws.amazon.com/datasync/latest/userguide/choosing-task-mode.html
拡張	タスク待ち発生時	Agent追加またはTask分割を検討する	QUEUED状態や実行時間の重複を確認する	複数Taskが同一Agentを利用する場合、実行待ちが発生する可能性がある	https://docs.aws.amazon.com/datasync/latest/userguide/run-task.html
拡張	S3容量増加時	S3 Lifecycleを設定する	利用頻度と保存期間に応じて低コストストレージへ移行する	長期的にはDataSyncよりS3累積保存量が主要コストになる可能性がある	https://docs.aws.amazon.com/AmazonS3/latest/userguide/object-lifecycle-mgmt.html
運用標準化	運用手順書	正常確認、障害確認、再実行、帯域変更、連絡先を文書化する	画面キャプチャ付きの手順書を作成する	DataSyncに詳しくない運用担当者でも定型対応を実施できるようにする	-
