費用区分	費用項目	初期費用	継続月費用	現時点の扱い	発生条件	備考
AWS外の実費	DataSync Agent用VM	0.00 USD想定／別途見積り	0.00 USD想定／別途見積り	既存仮想基盤の空きリソースを利用できる場合は追加購入費なし	空きCPU・メモリ・ディスクが不足する場合	Basic modeではAgent VMに4 vCPU、32GB RAM、80GB Diskを割り当てる
AWS外の実費	仮想基盤・ライセンス	0.00 USD想定／別途見積り	別途見積り	既存ライセンスの範囲内で利用できる場合は追加費用なし	VMware等の追加ライセンスや保守が必要な場合	AWS請求には含まれない
AWS外の実費	インターネット回線	0.00 USD想定／別途見積り	0.00 USD想定／別途見積り	既存回線を利用できる場合は追加回線費なし	帯域不足により回線増速・新規契約が必要な場合	回線事業者からの請求
AWS外の実費	FW・ネットワーク設定	別途見積り	-	作業工数を確認後に算定	TCP 443、DNS、NTP、SMB/NFS等の通信許可設定が必要	ネットワーク担当者の作業費
AWS外の実費	DataSync Agent導入・設定	別途見積り	-	作業工数を確認後に算定	VM展開、固定IP、DNS、NTP、Agentアクティベーション	初期構築作業
AWS外の実費	AWS設定作業	別途見積り	-	作業工数を確認後に算定	IAM、S3、KMS、DataSync Location/Task、CloudWatch設定	AWS利用料金とは別の設計・構築作業費
AWS外の実費	試験作業	別途見積り	-	試験範囲・工数を確認後に算定	疎通、転送、性能、障害、再実行、整合性確認	本番初回転送前に実施
AWS外の実費	運用手順書作成	別途見積り	-	成果物の範囲・工数を確認後に算定	監視、障害対応、再実行、帯域変更、連絡手順	初期作業費
AWS外の実費	月次運用保守	-	別途見積り	運用体制・対応時間を確認後に算定	タスク確認、障害対応、コスト確認、設定変更等	継続的な人的運用費
AWS外の実費	AWS外費用合計	現時点では未確定	現時点では未確定	顧客既存環境および作業工数の確認後に算定	-	AWS Billingには計上されない
